degree,clustering_coef,degree_centrality,betweenness_centrality,closeness_centrality
340,0.01273642200242929,0.034003400340034004,0.00029291909051425564,0.4725648660144619
447,0.023665492922422527,0.0447044704470447,0.0008282129348862027,0.49610518481766314
262,0.07560469129303032,0.026202620262026202,0.0002616531010657357,0.4937533948940793
69,0.01875532821824382,0.006900690069006901,8.39734963994289e-06,0.39793847255939824
78,0.014985014985014986,0.007800780078007801,1.780075059096985e-05,0.4206916863009088
134,0.016608685893839074,0.013401340134013402,6.0185691794235145e-05,0.41887646097775544
151,0.03849889624724062,0.015101510151015102,4.459095031085202e-05,0.4494336569579288
534,0.01930279458369346,0.05340534053405341,0.0006392493895355426,0.5039818548387097
49,0.013605442176870748,0.0049004900490049,8.24079207171955e-06,0.38123379594326673
110,0.014345287739783153,0.011001100110011002,3.404783184499938e-05,0.41487905066179825
70,0.0380952380952381,0.0070007000700070005,4.589824285347458e-05,0.4340220505252192
237,0.038582564542658945,0.023702370237023703,0.0002747691713204547,0.46893026309618724
94,0.09151223976206818,0.009400940094009401,1.7780814741307514e-05,0.4684249976576408
59,0.09059029807130334,0.005900590059005901,1.2541936684999682e-05,0.4242797131582297
200,0.027185929648241205,0.020002000200020003,0.00012455260201396347,0.4701650444350402
88,0.07157784743991641,0.0088008800880088,3.2146441690111e-05,0.46811797752808987
855,0.014010435925880275,0.0855085508550855,0.0017763276465145054,0.5187817785617931
1068,0.027212352881297627,0.10681068106810682,0.0029067267847347274,0.5274012342423123
71,0.008450704225352112,0.007100710071007101,1.4314349642156789e-05,0.3937699365966999
708,0.046935807382191004,0.0708070807080708,0.0015139460037560106,0.5145371275665106
145,0.03946360153256705,0.014501450145014501,0.00011675443989451952,0.47278831150409
473,0.02450997957501702,0.047304730473047306,0.0010317041736860571,0.4966966370274701
61,0.009289617486338797,0.006100610061006101,1.1061873935306765e-05,0.37913775452166987
214,0.03260058795138432,0.0214021402140214,0.00022099682941369923,0.4829501545595054
185,0.030434782608695653,0.0185018501850185,0.00016594853544965344,0.4811838306063523
215,0.013518800260812867,0.0215021502150215,0.0001890371078237715,0.44642378783819986
146,0.047614548889938595,0.014601460146014602,8.552846509121145e-05,0.4699440710626498
338,0.014959703615261707,0.0338033803380338,0.00036086627549297955,0.46008374361569965
169,0.020005635390250773,0.0169016901690169,8.831028665718741e-05,0.44241405247555415
110,0.08540450375312761,0.011001100110011002,5.319147172604774e-05,0.47837527509329253
155,0.05102639296187683,0.015501550155015502,0.00013333614438928578,0.4809061177375914
70,0.014078674948240166,0.0070007000700070005,1.1756884705824495e-05,0.39470256187581415
206,0.044091877811982004,0.020602060206020602,0.00011518604276949902,0.4808367396008656
